Word,Length,Count,Weighted Percentage
students,8,498,1.02%
student,7,415,0.85%
pgrs,4,347,0.71%
health,6,322,0.66%
support,7,300,0.61%
candidates,10,298,0.61%
may,3,278,0.57%
supervisors,11,257,0.53%
school,6,252,0.52%
candidate,9,245,0.50%
training,8,239,0.49%
staff,5,230,0.47%
supervisor,10,227,0.47%
supervisory,11,226,0.46%
thesis,6,223,0.46%
doctoral,8,216,0.44%
practice,8,213,0.44%
development,11,212,0.43%
work,4,194,0.40%
time,4,192,0.39%
university,10,191,0.39%
pgr,3,179,0.37%
wellbeing,9,179,0.37%
including,9,178,0.36%
review,6,174,0.36%
appropriate,11,160,0.33%
providers,9,155,0.32%
within,6,153,0.31%
examiners,9,150,0.31%
team,4,146,0.30%
progress,8,145,0.30%
information,11,143,0.29%
service,7,142,0.29%
ensure,6,132,0.27%
guidance,8,132,0.27%
code,4,131,0.27%
professional,12,130,0.27%
services,8,128,0.26%
quality,7,125,0.26%
registration,12,124,0.25%
examination,11,118,0.24%
must,4,118,0.24%
vitae,5,118,0.24%
supervision,11,113,0.23%
relevant,8,111,0.23%
need,4,109,0.22%
heis,4,104,0.21%
experience,10,103,0.21%
issues,6,102,0.21%
institute,9,97,0.20%
october,7,97,0.20%
regulations,11,96,0.20%
include,7,95,0.19%
director,8,93,0.19%
process,7,93,0.19%
researchers,11,93,0.19%
meeting,7,92,0.19%
provided,8,92,0.19%
skills,6,92,0.19%
external,8,91,0.19%
funding,7,90,0.18%
new,3,90,0.18%
provide,7,90,0.18%
role,4,90,0.18%
requirements,12,89,0.18%
submission,10,89,0.18%
environment,11,88,0.18%
framework,9,88,0.18%
knowledge,9,88,0.18%
available,9,87,0.18%
learning,8,87,0.18%
made,4,87,0.18%
procedures,10,87,0.18%
assessment,10,86,0.18%
likely,6,85,0.17%
phd,3,85,0.17%
opportunities,13,84,0.17%
required,8,82,0.17%
teaching,8,82,0.17%
college,7,81,0.17%
good,4,81,0.17%
working,7,81,0.17%
clear,5,80,0.16%
international,13,79,0.16%
approval,8,78,0.16%
independent,11,78,0.16%
faculty,7,77,0.16%
personal,8,77,0.16%
qaa,3,77,0.16%
report,6,77,0.16%
contact,7,76,0.16%
use,3,76,0.16%
advice,6,75,0.15%
centre,6,75,0.15%
formal,6,75,0.15%
survey,6,75,0.15%
policy,6,74,0.15%
risk,4,74,0.15%
careers,7,73,0.15%
following,9,73,0.15%
programmes,10,73,0.15%
project,7,73,0.15%
individual,10,71,0.15%
