UK,NNP
Quality,NNP
Code,NNP
Higher,NNP
Education,NNP
Advice,NNP
Guidance,NNP
Research,NNP
Degrees,NNP
1Contents,CD
Regulatory,NNP
contexts,NN
Quality,NNP
Code,NNP
1,CD
Terminology,NNP
1Expectations,NNS
Practices,VBZ
2Guiding,CD
principles,NNS
4Practical,CD
advice,NN
5Writing,VBG
group,NN
13Regulatory,CD
contexts,NN
Quality,NNP
Code,NNP
The,DT
Expectations,NNP
Core,NNP
practices,NNS
UK,NNP
Quality,NNP
Code,NNP
Higher,NNP
Education,NNP
(,(
Quality,NNP
Code,NNP
),)
mandatory,NN
higher,JJR
education,NN
providers,NNS
parts,NNS
UK,NNP
.,.
Common,NNP
practices,NNS
mandatory,JJ
Scotland,NNP
,,,
Wales,NNP
Northern,NNP
Ireland,NNP
providers,NNS
England,NNP
may,MD
choose,VB
work,NN
towards,NNS
,,,
required,VBN
regulatory,JJ
requirements,NNS
assessed,VBD
part,NN
OfS™s,NNP
regulatory,JJ
framework,NN
.,.
National,NNP
regulators,NNS
QAA,NNP
bound,NN
information,NN
advice,NN
guidance,NN
view,NN
containing,VBG
indicators,NNS
compliance,NN
.,.
This,DT
guidance,NN
interpret,NN
statutory,NN
requirements,NNS
.,.
Terminology,NNP
Doctoral,NNP
degrees,NNS
:,:
Doctoral,NNP
degrees,NNS
qualifications,NNS
rooted,VBD
original,JJ
research,NN
-,:
creation,NN
new,JJ
knowledge,NN
originality,NN
application,NN
knowledge,NN
.,.
The,DT
doctorate,NN
,,,
therefore,RB
,,,
unique,JJ
array,NN
qualifications,NNS
offered,VBD
higher,JJR
education,NN
providers,NNS
.,.
Other,JJ
key,JJ
reference,NN
points,NNS
doctoral,JJ
degrees,NNS
doctoral,JJ
qualification,NN
descriptors,NNS
included,VBD
national,JJ
higher,JJR
education,NN
qualification,NN
frameworks,NNS
England,NNP
,,,
Wales,NNP
Northern,NNP
Ireland,NNP
Scotland,NNP
,,,
QAA,NNP
Doctoral,NNP
Degree,NNP
Characteristics,NNP
Statement,NNP
(,(
2015,CD
),)
.,.
Masters,NNS
research,NN
:,:
