,IN
THE,NNP
CODE,NNP
OF,NNP
PRACTICE,NNP
FOR,NNP
RESEARCH,NNP
DEGREES,NNP
201920,CD
Approved,NNP
Senate,NNP
August,NNP
2008,CD
Revised,VBD
version,NN
approved,VBD
Postgraduate,NNP
Research,NNP
Executive,NNP
,,,
October,NNP
2019,CD
2019-20,JJ
Version,NNP
1.2,CD
-,:
Updated,VBN
November,NNP
2019,CD
Page,NNP
2,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
CONTENTS,NNP
INTRODUCTION,NNP
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
..,VBZ
3,CD
1,CD
.,.
Aim,NNP
Code,NNP
Practice,NNP
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
3,CD
2,CD
.,.
Framework,NNP
Quality,NNP
Assurance,NNP
Research,NNP
Degrees,NNP
UEA,NNP
...,:
...,:
...,:
...,:
...,:
...,:
3,CD
3,CD
.,.
Research,NN
Degrees,NNS
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
..,VBZ
3,CD
4,CD
.,.
Key,JJ
Principles,NNP
Research,NNP
Degree,NNP
Supervision,NNP
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
4,CD
CODE,NNP
OF,NNP
PRACTICE,NNP
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
7,CD
1,CD
.,.
Admissions,NNS
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
.,.
7,CD
2,CD
.,.
Approval,NNP
Research,NNP
Projects,NNPS
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
.,.
8,CD
3,CD
.,.
Research,NNP
Degree,NNP
Candidate,NNP
Information,NNP
Induction,NNP
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
..,VBZ
9,CD
4,CD
.,.
Health,NNP
Safety,NNP
Information,NNP
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
10,CD
5,CD
.,.
Ethics,NNS
Research,NNP
